·ûºÅÕ»                               ×´Ì¬Õ»                                                                                       ÊäÈë´®                                                                          ACTION         GOTO      
#BC(){TXXXXX2=Y                      0,7,10,11,12,13,23,25,25,25,25,25,14,26,38,                                                 +3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                         S51
#BC(){TXXXXX2=Y+                     0,7,10,11,12,13,23,25,25,25,25,25,14,26,38,51,                                              3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                          r36              55
#BC(){TXXXXX2=YQ                     0,7,10,11,12,13,23,25,25,25,25,25,14,26,38,55,                                              3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                          S62
#BC(){TXXXXX2=YQ3                    0,7,10,11,12,13,23,25,25,25,25,25,14,26,38,55,62,                                           ;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                           r35              65
#BC(){TXXXXX2=YQY                    0,7,10,11,12,13,23,25,25,25,25,25,14,26,38,55,65,                                           ;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                           S75
#BC(){TXXXXX2=YQY;                   0,7,10,11,12,13,23,25,25,25,25,25,14,26,38,55,65,75,                                        h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                            r32              25
#BC(){TXXXXXX                        0,7,10,11,12,13,23,25,25,25,25,25,25,                                                       h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                            S17
#BC(){TXXXXXXh                       0,7,10,11,12,13,23,25,25,25,25,25,25,17,                                                    2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                             r13              21
#BC(){TXXXXXXD                       0,7,10,11,12,13,23,25,25,25,25,25,25,21,                                                    2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                             S29
#BC(){TXXXXXXD2                      0,7,10,11,12,13,23,25,25,25,25,25,25,21,29,                                                 ;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                              r21              30
#BC(){TXXXXXXDN                      0,7,10,11,12,13,23,25,25,25,25,25,25,21,30,                                                 ;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                              S46
#BC(){TXXXXXXDN;                     0,7,10,11,12,13,23,25,25,25,25,25,25,21,30,46,                                              2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                               r19              23
#BC(){TXXXXXXT                       0,7,10,11,12,13,23,25,25,25,25,25,25,23,                                                    2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                               S14
#BC(){TXXXXXXT2                      0,7,10,11,12,13,23,25,25,25,25,25,25,23,14,                                                 =3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                S26
#BC(){TXXXXXXT2=                     0,7,10,11,12,13,23,25,25,25,25,25,25,23,14,26,                                              3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                 S37
#BC(){TXXXXXXT2=3                    0,7,10,11,12,13,23,25,25,25,25,25,25,23,14,26,37,                                           ;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                  r35              38
#BC(){TXXXXXXT2=Y                    0,7,10,11,12,13,23,25,25,25,25,25,25,23,14,26,38,                                           ;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                  S54
#BC(){TXXXXXXT2=Y;                   0,7,10,11,12,13,23,25,25,25,25,25,25,23,14,26,38,54,                                        w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                   r33              25
#BC(){TXXXXXXTX                      0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,                                                 w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                   S18
#BC(){TXXXXXXTXw                     0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,                                              (2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                    S28
#BC(){TXXXXXXTXw(                    0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,                                           2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                     S42
#BC(){TXXXXXXTXw(2                   0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,42,                                        ){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                      r34              44
#BC(){TXXXXXXTXw(Y                   0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,                                        ){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                      S59
#BC(){TXXXXXXTXw(Y)                  0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,                                     {2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                       S73
#BC(){TXXXXXXTXw(Y){                 0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,                                  2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                        S77
#BC(){TXXXXXXTXw(Y){2                0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,77,                               =2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                         S93
#BC(){TXXXXXXTXw(Y){2=               0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,77,93,                            2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                          S36
#BC(){TXXXXXXTXw(Y){2=2              0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,77,93,36,                         -3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                           r34              108
#BC(){TXXXXXXTXw(Y){2=Y              0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,77,93,108,                        -3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                           S52
#BC(){TXXXXXXTXw(Y){2=Y-             0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,77,93,108,52,                     3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                            r37              116
#BC(){TXXXXXXTXw(Y){2=YQ             0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,77,93,108,116,                    3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                            S62
#BC(){TXXXXXXTXw(Y){2=YQ3            0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,77,93,108,116,62,                 ;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                             r35              124
#BC(){TXXXXXXTXw(Y){2=YQY            0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,77,93,108,116,124,                ;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                             S130
#BC(){TXXXXXXTXw(Y){2=YQY;           0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,77,93,108,116,124,130,            }h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                              r32              84
#BC(){TXXXXXXTXw(Y){X                0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,84,                               }h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                              r18              100
#BC(){TXXXXXXTXw(Y){XE               0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,84,100,                           }h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                              r16              91
#BC(){TXXXXXXTXw(Y){E                0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,91,                               }h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                              S107
#BC(){TXXXXXXTXw(Y){E}               0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,18,28,44,59,73,91,107,                           h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                               r25              24
#BC(){TXXXXXXTXW                     0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,                                              h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                               S17
